text,values_json
Ficha de identificación — Nombre: Claudia; Apellidos: Quiroz Caballero; Doc.: DNI 83197857; Nac.: 25-11-1968; Cel.: +51 914265799; Dir.: Urb. Progreso 9028 Mz E; Dist.: Monsefú; Lima.,"{""NOMBRES"": ""Claudia"", ""APELLIDOS"": ""Quiroz Caballero"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""83197857"", ""FECHA_NAC"": ""25-11-1968"", ""TELEFONO"": ""+51 914265799"", ""DISTRITO"": ""Monsefú"", ""DIRECCION"": ""Urb. Progreso 9028 Mz E""}"
Contacto del titular Juan Pablo Galindo Barreto — 938898923 — DNI 66722344 — 06/04/1980 — Dirección Calle La Unión 9991  — Distrito Huaricolca — Lima.,"{""NOMBRES"": ""Juan Pablo"", ""APELLIDOS"": ""Galindo Barreto"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""66722344"", ""FECHA_NAC"": ""06/04/1980"", ""TELEFONO"": ""938898923"", ""DISTRITO"": ""Huaricolca"", ""DIRECCION"": ""Calle La Unión 9991 ""}"
Registro rápido: Cesar Cano Palacios; DNI 58537831; 25/11/1990; +51 919335534; Jr. San Martín 6327 ; Ferreñafe-Lima.,"{""NOMBRES"": ""Cesar"", ""APELLIDOS"": ""Cano Palacios"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""58537831"", ""FECHA_NAC"": ""25/11/1990"", ""TELEFONO"": ""+51 919335534"", ""DISTRITO"": ""Ferreñafe"", ""DIRECCION"": ""Jr. San Martín 6327 ""}"
"Datos: Elizabeth María Luisa Ortega — DNI 96977837 — F. nac. 15-03-1968 — Tel. 932969840 — Urb. Progreso 5413, La Arena, Lima.","{""NOMBRES"": ""Elizabeth María Luisa"", ""APELLIDOS"": ""Ortega"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""96977837"", ""FECHA_NAC"": ""15-03-1968"", ""TELEFONO"": ""932969840"", ""DISTRITO"": ""La Arena"", ""DIRECCION"": ""Urb. Progreso 5413""}"
"Yo Victor Quisbert-Mendoza, con DNI 86125617, nací el 24-04-2004; mi teléfono es 938538251; vivo en Jr. Progreso 9297 (Lima, Nuñoa).","{""NOMBRES"": ""Victor"", ""APELLIDOS"": ""Quisbert-Mendoza"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""86125617"", ""FECHA_NAC"": ""24-04-2004"", ""TELEFONO"": ""938538251"", ""DISTRITO"": ""Nuñoa"", ""DIRECCION"": ""Jr. Progreso 9297""}"
Datos mínimos: Víctor Hugo Pena Flores; DNI 28566572; 10/11/1987; Psje. La Paz 1140 Lt 22; San Sebastián; Lima; Tel. 916323852.,"{""NOMBRES"": ""Víctor Hugo"", ""APELLIDOS"": ""Pena Flores"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""28566572"", ""FECHA_NAC"": ""10/11/1987"", ""TELEFONO"": ""916323852"", ""DISTRITO"": ""San Sebastián"", ""DIRECCION"": ""Psje. La Paz 1140 Lt 22""}"
"Me llamo María Luisa Campos; mi documento es DNI 11540956; nací el 08-07-1995; número de contacto 982070937; dirección Psje. Los Álamos 7533 , distrito Yanque, Lima.","{""NOMBRES"": ""María Luisa"", ""APELLIDOS"": ""Campos"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""11540956"", ""FECHA_NAC"": ""08-07-1995"", ""TELEFONO"": ""982070937"", ""DISTRITO"": ""Yanque"", ""DIRECCION"": ""Psje. Los Álamos 7533 ""}"
"Apellidos: Palacios Bolanos; Nombres: Maria Valentina; Documento: DNI 93926371; Nacimiento: 22 de mayo del 1978; Teléfono: 978137358; Dirección: Urb. Arequipa 9913 , Lima–San Sebastián.","{""NOMBRES"": ""Maria Valentina"", ""APELLIDOS"": ""Palacios Bolanos"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""93926371"", ""FECHA_NAC"": ""22 de mayo del 1978"", ""TELEFONO"": ""978137358"", ""DISTRITO"": ""San Sebastián"", ""DIRECCION"": ""Urb. Arequipa 9913 ""}"
"Yo Ariana López Ibarra, con DNI 86149359, nací el 24/06/2007; mi teléfono es 975228535; vivo en Psje. Bolívar 2805 Lt 22 (Lima, Papayal).","{""NOMBRES"": ""Ariana"", ""APELLIDOS"": ""López Ibarra"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""86149359"", ""FECHA_NAC"": ""24/06/2007"", ""TELEFONO"": ""975228535"", ""DISTRITO"": ""Papayal"", ""DIRECCION"": ""Psje. Bolívar 2805 Lt 22""}"
"Mi nombre es Carlos y mis apellidos son Cáceres Salas; mi tipo de documento es DNI y su número es 97225156; nací el 02/10/1981; mi número de teléfono es +51-979467853; vivo en Lima, distrito de La Unión; dirección Urb. Bolívar 3870.","{""NOMBRES"": ""Carlos"", ""APELLIDOS"": ""Cáceres Salas"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""97225156"", ""FECHA_NAC"": ""02/10/1981"", ""TELEFONO"": ""+51-979467853"", ""DISTRITO"": ""La Unión"", ""DIRECCION"": ""Urb. Bolívar 3870""}"
Datos para verificación: Luis Fernando Pacori-Herrera; DNI 14216175; 25/07/2003; 979 008 866; Urb. La Paz 7844 Mz E; Lima/Nauta.,"{""NOMBRES"": ""Luis Fernando"", ""APELLIDOS"": ""Pacori-Herrera"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""14216175"", ""FECHA_NAC"": ""25/07/2003"", ""TELEFONO"": ""979 008 866"", ""DISTRITO"": ""Nauta"", ""DIRECCION"": ""Urb. La Paz 7844 Mz E""}"
"Contacto: Karina Domínguez Suarez / DNI 17270733 / Nacido: 17-03-1995 / Cel: +51 996728778 / Av. Progreso 3239 Mz G, Huancané, Lima.","{""NOMBRES"": ""Karina"", ""APELLIDOS"": ""Domínguez Suarez"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""17270733"", ""FECHA_NAC"": ""17-03-1995"", ""TELEFONO"": ""+51 996728778"", ""DISTRITO"": ""Huancané"", ""DIRECCION"": ""Av. Progreso 3239 Mz G""}"
"María Paula Luna Suyon (DNI 20117988) — nacido el 17 de noviembre del 1984 — cel. +51 983863413 — Jr. Los Álamos 6758 Depto 377, Shanao, Lima.","{""NOMBRES"": ""María Paula"", ""APELLIDOS"": ""Luna Suyon"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""20117988"", ""FECHA_NAC"": ""17 de noviembre del 1984"", ""TELEFONO"": ""+51 983863413"", ""DISTRITO"": ""Shanao"", ""DIRECCION"": ""Jr. Los Álamos 6758 Depto 377""}"
"Datos: Diana Arias Contreras — DNI 48285503 — F. nac. 23-12-1983 — Tel. 984593961 — Av. La Paz 8983 Interior 7, Palpa, Lima.","{""NOMBRES"": ""Diana"", ""APELLIDOS"": ""Arias Contreras"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""48285503"", ""FECHA_NAC"": ""23-12-1983"", ""TELEFONO"": ""984593961"", ""DISTRITO"": ""Palpa"", ""DIRECCION"": ""Av. La Paz 8983 Interior 7""}"
"Me identifico como Alberto Chávez Ponce; documento DNI No. 20752378; nacido el 11/03/2003; número de celular +51 989864260; dirección Urb. Progreso 9585, Lima – Platería.","{""NOMBRES"": ""Alberto"", ""APELLIDOS"": ""Chávez Ponce"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""20752378"", ""FECHA_NAC"": ""11/03/2003"", ""TELEFONO"": ""+51 989864260"", ""DISTRITO"": ""Platería"", ""DIRECCION"": ""Urb. Progreso 9585""}"
Ficha personal: César Ulloa | Doc DNI: 37415205 | Nac. 16-01-1995 | Tel 942 035 886 | Dir Av. Arequipa 7608 | Dist Vítor | Lima.,"{""NOMBRES"": ""César"", ""APELLIDOS"": ""Ulloa"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""37415205"", ""FECHA_NAC"": ""16-01-1995"", ""TELEFONO"": ""942 035 886"", ""DISTRITO"": ""Vítor"", ""DIRECCION"": ""Av. Arequipa 7608""}"
"Yesenia Nieto; DNI 19233013; fecha de nacimiento 10/06/2004; teléfono +51 948250360; vive en Lima, distrito Sausa, dirección Urb. Arequipa 9186 .","{""NOMBRES"": ""Yesenia"", ""APELLIDOS"": ""Nieto"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""19233013"", ""FECHA_NAC"": ""10/06/2004"", ""TELEFONO"": ""+51 948250360"", ""DISTRITO"": ""Sausa"", ""DIRECCION"": ""Urb. Arequipa 9186 ""}"
Ficha de identificación — Nombre: Vanessa; Apellidos: Salcedo Chura; Doc.: DNI 30863865; Nac.: 21/03/1977; Cel.: 938270233; Dir.: Calle Arequipa 1612; Dist.: Guadalupe; Lima.,"{""NOMBRES"": ""Vanessa"", ""APELLIDOS"": ""Salcedo Chura"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""30863865"", ""FECHA_NAC"": ""21/03/1977"", ""TELEFONO"": ""938270233"", ""DISTRITO"": ""Guadalupe"", ""DIRECCION"": ""Calle Arequipa 1612""}"
"Mi nombre completo es Victor Hugo Bravo Calla; cuento con DNI N° 45159040; nací el 01-04-1972; mi celular es 984045292; domicilio en Jr. Bolívar 690, Lima – Cajamarca.","{""NOMBRES"": ""Victor Hugo"", ""APELLIDOS"": ""Bravo Calla"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""45159040"", ""FECHA_NAC"": ""01-04-1972"", ""TELEFONO"": ""984045292"", ""DISTRITO"": ""Cajamarca"", ""DIRECCION"": ""Jr. Bolívar 690""}"
"Yo, Joel Hidalgo; DNI 15354599; F. nac. 28/04/2005; tel. 943491314; resido en Lima, Macate, Urb. Libertad 2632.","{""NOMBRES"": ""Joel"", ""APELLIDOS"": ""Hidalgo"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""15354599"", ""FECHA_NAC"": ""28/04/2005"", ""TELEFONO"": ""943491314"", ""DISTRITO"": ""Macate"", ""DIRECCION"": ""Urb. Libertad 2632""}"
Nombre Pamela; Apellido(s) Iglesias; DNI 13326769; F. nac 17-01-1973; Cel 954585178; Dir Av. Primavera 734; Lima–Ciudad Nueva.,"{""NOMBRES"": ""Pamela"", ""APELLIDOS"": ""Iglesias"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""13326769"", ""FECHA_NAC"": ""17-01-1973"", ""TELEFONO"": ""954585178"", ""DISTRITO"": ""Ciudad Nueva"", ""DIRECCION"": ""Av. Primavera 734""}"
"Apellidos: Camacho Castaneda; Nombres: Andrea; Documento: DNI 40547349; Nacimiento: 01/01/1975; Teléfono: +51-935921441; Dirección: Urb. Primavera 8885 , Lima–El Alto.","{""NOMBRES"": ""Andrea"", ""APELLIDOS"": ""Camacho Castaneda"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""40547349"", ""FECHA_NAC"": ""01/01/1975"", ""TELEFONO"": ""+51-935921441"", ""DISTRITO"": ""El Alto"", ""DIRECCION"": ""Urb. Primavera 8885 ""}"
Ficha: Nombre Pedro Pablo; Apellidos Carrillo Castaneda; Doc. DNI 45630292; Nac. 19/09/1966; Cel. 968 326 160; Dir. Av. Primavera 9546 ; Zona Lima/Chicama.,"{""NOMBRES"": ""Pedro Pablo"", ""APELLIDOS"": ""Carrillo Castaneda"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""45630292"", ""FECHA_NAC"": ""19/09/1966"", ""TELEFONO"": ""968 326 160"", ""DISTRITO"": ""Chicama"", ""DIRECCION"": ""Av. Primavera 9546 ""}"
"Jorge Castillo Barrera; documento: DNI n° 36445607; nacido el 04/05/1981; contacto: 999152472; dirección: Calle Bolívar 5167, distrito Leymebamba, Lima.","{""NOMBRES"": ""Jorge"", ""APELLIDOS"": ""Castillo Barrera"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""36445607"", ""FECHA_NAC"": ""04/05/1981"", ""TELEFONO"": ""999152472"", ""DISTRITO"": ""Leymebamba"", ""DIRECCION"": ""Calle Bolívar 5167""}"
"Declaro bajo juramento: me llamo Carmen Cáceres Salgado, identificado con DNI 33357554, nacido el 11-08-1992, teléfono 964502486, con domicilio en Urb. La Paz 5379 Mz B, Ancón, Lima.","{""NOMBRES"": ""Carmen"", ""APELLIDOS"": ""Cáceres Salgado"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""33357554"", ""FECHA_NAC"": ""11-08-1992"", ""TELEFONO"": ""964502486"", ""DISTRITO"": ""Ancón"", ""DIRECCION"": ""Urb. La Paz 5379 Mz B""}"
"Mi nombre completo es María de los Ángeles Suárez Mendoza; cuento con DNI N° 32775593; nací el 22/07/1994; mi celular es 979182797; domicilio en Jr. Bolognesi 5185 Depto 272, Lima – Cajaruro.","{""NOMBRES"": ""María de los Ángeles"", ""APELLIDOS"": ""Suárez Mendoza"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""32775593"", ""FECHA_NAC"": ""22/07/1994"", ""TELEFONO"": ""979182797"", ""DISTRITO"": ""Cajaruro"", ""DIRECCION"": ""Jr. Bolognesi 5185 Depto 272""}"
"Identificación corta: Paula Palacios Guerrero, DNI 94525678, 28/10/1990, +51-961536717, Av. Los Olivos 7065 , Cura Mori (Lima).","{""NOMBRES"": ""Paula"", ""APELLIDOS"": ""Palacios Guerrero"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""94525678"", ""FECHA_NAC"": ""28/10/1990"", ""TELEFONO"": ""+51-961536717"", ""DISTRITO"": ""Cura Mori"", ""DIRECCION"": ""Av. Los Olivos 7065 ""}"
Información básica — Nombres: Jaime Julio | Apellidos: García Rocha | DNI: 81287314 | F. nac.: 27-01-1990 | Cel.: 969401199 | Dir.: Urb. Grau 2707 | Dist.: San Pablo de Pillao | Lima.,"{""NOMBRES"": ""Jaime Julio"", ""APELLIDOS"": ""García Rocha"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""81287314"", ""FECHA_NAC"": ""27-01-1990"", ""TELEFONO"": ""969401199"", ""DISTRITO"": ""San Pablo de Pillao"", ""DIRECCION"": ""Urb. Grau 2707""}"
"Declaro bajo juramento: me llamo Jesus Ciro Nunez Campos, identificado con DNI 42111036, nacido el 27/04/1977, teléfono 948 349 783, con domicilio en Jr. Progreso 6375, Acobamba, Lima.","{""NOMBRES"": ""Jesus Ciro"", ""APELLIDOS"": ""Nunez Campos"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""42111036"", ""FECHA_NAC"": ""27/04/1977"", ""TELEFONO"": ""948 349 783"", ""DISTRITO"": ""Acobamba"", ""DIRECCION"": ""Jr. Progreso 6375""}"
