text,tokens,tags
El DNI es 39958838; el titular Juan Quispe Flores; nació el 27 de junio de 1996.,El DNI es 39958838 ; el titular Juan Quispe Flores ; nació el 27 de junio de 1996 .,O O O B-DNI O O O B-NOMBRE B-APELLIDO I-APELLIDO O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
Soy Juan Flores Ramírez; DNI 77827638; fecha de nacimiento 26 de octubre de 1988.,Soy Juan Flores Ramírez ; DNI 77827638 ; fecha de nacimiento 26 de octubre de 1988 .,O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"Datos: Lucía García Flores — 66722344 — +51 955667651 — Calle Flores 3627, San Isidro.","Datos : Lucía García Flores — 66722344 — + 51 955667651 — Calle Flores 3627 , San Isidro .",O O B-NOMBRE B-APELLIDO I-APELLIDO O B-DNI O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Registrar: Lucía Quispe Pérez, DNI 45503389, celular +51 915831819.","Registrar : Lucía Quispe Pérez , DNI 45503389 , celular + 51 915831819 .",O O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O B-TELEFONO I-TELEFONO I-TELEFONO O
"José Pérez; teléfono +51 987490893; DNI 58537831; domicilio Jr. Ramírez 1239, Lima.","José Pérez ; teléfono + 51 987490893 ; DNI 58537831 ; domicilio Jr . Ramírez 1239 , Lima .",B-NOMBRE B-APELLIDO O O B-TELEFONO I-TELEFONO I-TELEFONO O O B-DNI O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Datos: José Flores — 23556182 — +51 961019678 — Calle Rojas 6077, Miraflores.","Datos : José Flores — 23556182 — + 51 961019678 — Calle Rojas 6077 , Miraflores .",O O B-NOMBRE B-APELLIDO O B-DNI O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
Para el registro: María Ramírez; DNI 96977837; tel +51 919583482.,Para el registro : María Ramírez ; DNI 96977837 ; tel + 51 919583482 .,O O O O B-NOMBRE B-APELLIDO O O B-DNI O O B-TELEFONO I-TELEFONO I-TELEFONO O
Soy José Ramírez; DNI 84752529; fecha de nacimiento 10 de febrero de 2006.,Soy José Ramírez ; DNI 84752529 ; fecha de nacimiento 10 de febrero de 2006 .,O B-NOMBRE B-APELLIDO O O B-DNI O O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
Para el registro: Lucía Flores Pérez; DNI 52235350; tel +51 938538251.,Para el registro : Lucía Flores Pérez ; DNI 52235350 ; tel + 51 938538251 .,O O O O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O B-TELEFONO I-TELEFONO I-TELEFONO O
"María Pérez; dirección Psje. Pérez 6643, San Isidro; DNI 45264581.","María Pérez ; dirección Psje . Pérez 6643 , San Isidro ; DNI 45264581 .",B-NOMBRE B-APELLIDO O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O O B-DNI O
"Carlos García Ramírez; dirección Jr. Ramírez 7016, Surco; DNI 30514014.","Carlos García Ramírez ; dirección Jr . Ramírez 7016 , Surco ; DNI 30514014 .",B-NOMBRE B-APELLIDO I-APELLIDO O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O O B-DNI O
Soy Lucía Rojas Pérez; DNI 43744231; fecha de nacimiento 7 de septiembre de 2003.,Soy Lucía Rojas Pérez ; DNI 43744231 ; fecha de nacimiento 7 de septiembre de 2003 .,O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"Titular Ana Quispe Rojas, documento 31227574, vive en Av. Ramírez 4415, Surco.","Titular Ana Quispe Rojas , documento 31227574 , vive en Av . Ramírez 4415 , Surco .",O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Carlos Ramírez; dirección Jr. Flores 6226, Miraflores; DNI 50056581.","Carlos Ramírez ; dirección Jr . Flores 6226 , Miraflores ; DNI 50056581 .",B-NOMBRE B-APELLIDO O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O O B-DNI O
"Juan Rojas García; teléfono +51 958718453; DNI 25014631; domicilio Calle Flores 1049, Miraflores.","Juan Rojas García ; teléfono + 51 958718453 ; DNI 25014631 ; domicilio Calle Flores 1049 , Miraflores .",B-NOMBRE B-APELLIDO I-APELLIDO O O B-TELEFONO I-TELEFONO I-TELEFONO O O B-DNI O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Registrar: Juan García, DNI 81498611, celular +51 926879290.","Registrar : Juan García , DNI 81498611 , celular + 51 926879290 .",O O B-NOMBRE B-APELLIDO O O B-DNI O O B-TELEFONO I-TELEFONO I-TELEFONO O
